"CD_CVM","EMPRESA","CD_CONTA","CONTA","PERIODO","VL_CONTA"
"20915","MRV","1.01.03","1.01.03 - Contas a Receber","4T20",1843822
"20915","MRV","1.01.04","1.01.04 - Estoques","4T20",3741278
"20915","MRV","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",1898290
"20915","MRV","1.02","1.02 - Ativo Não Circulante","4T20",9497920
"20915","MRV","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",6850134
"20915","MRV","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",0
"20915","MRV","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",1641094
"20915","MRV","1.02.01.05","1.02.01.03 - Estoques","4T20",4860581
"20915","MRV","1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",288336
"20915","MRV","1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T20",60123
"20915","MRV","1.02.02","1.02.02 - Investimentos","4T20",1918962
"20915","MRV","1.02.03","1.02.03 - Imobilizado","4T20",564393
"20915","MRV","1.02.04","1.02.04 - Intangível","4T20",164431
"25100","Cury","1","1 - Ativo Total","4T20",1644712
"25100","Cury","1.01","1.01 - Ativo Circulante","4T20",1352511
"25100","Cury","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",291125
"25100","Cury","1.01.02","1.01.02 - Aplicações Financeiras","4T20",139773
"25100","Cury","1.01.03","1.01.03 - Contas a Receber","4T20",627243
"25100","Cury","1.01.04","1.01.04 - Estoques","4T20",270277
"25100","Cury","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",24093
"25100","Cury","1.02","1.02 - Ativo Não Circulante","4T20",292201
"25100","Cury","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",250584
"25100","Cury","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",0
"25100","Cury","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",172079
"25100","Cury","1.02.01.05","1.02.01.03 - Estoques","4T20",25981
"25100","Cury","1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",40318
"25100","Cury","1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T20",12206
"25100","Cury","1.02.02","1.02.02 - Investimentos","4T20",26948
"25100","Cury","1.02.03","1.02.03 - Imobilizado","4T20",14669
"25100","Cury","1.02.04","1.02.04 - Intangível","4T20",0
"21130","Trisul","1","1 - Ativo Total","4T20",2176901
"21130","Trisul","1.01","1.01 - Ativo Circulante","4T20",1680830
"21130","Trisul","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",478720
"21130","Trisul","1.01.02","1.01.02 - Aplicações Financeiras","4T20",0
"21130","Trisul","1.01.03","1.01.03 - Contas a Receber","4T20",518171
"21130","Trisul","1.01.04","1.01.04 - Estoques","4T20",673219
"21130","Trisul","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",10720
"21130","Trisul","1.02","1.02 - Ativo Não Circulante","4T20",496071
"21130","Trisul","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",410830
"21130","Trisul","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",0
"21130","Trisul","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",89617
"21130","Trisul","1.02.01.05","1.02.01.03 - Estoques","4T20",286280
"21130","Trisul","1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",6059
"21130","Trisul","1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T20",28874
"21130","Trisul","1.02.02","1.02.02 - Investimentos","4T20",65003
"21130","Trisul","1.02.03","1.02.03 - Imobilizado","4T20",18770
"21130","Trisul","1.02.04","1.02.04 - Intangível","4T20",1468
"25798","Kallas","1","1 - Ativo Total","4T20",1196535
"25798","Kallas","1.01","1.01 - Ativo Circulante","4T20",820478
"25798","Kallas","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",122250
"25798","Kallas","1.01.02","1.01.02 - Aplicações Financeiras","4T20",0
"25798","Kallas","1.01.03","1.01.03 - Contas a Receber","4T20",130909
"25798","Kallas","1.01.04","1.01.04 - Estoques","4T20",0
"25798","Kallas","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",567319
"25798","Kallas","1.02","1.02 - Ativo Não Circulante","4T20",376057
"25798","Kallas","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",292594
"25798","Kallas","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",0
"25798","Kallas","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",104108
"25798","Kallas","1.02.01.05","1.02.01.03 - Estoques","4T20",0
"25798","Kallas","1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",188486
"25798","Kallas","1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T20",0
"25798","Kallas","1.02.02","1.02.02 - Investimentos","4T20",80151
"25798","Kallas","1.02.03","1.02.03 - Imobilizado","4T20",1298
"25798","Kallas","1.02.04","1.02.04 - Intangível","4T20",2014
"25976","Yuny","1","1 - Ativo Total","4T20",459542
"25976","Yuny","1.01","1.01 - Ativo Circulante","4T20",250899
"25976","Yuny","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",28332
"25976","Yuny","1.01.02","1.01.02 - Aplicações Financeiras","4T20",0
"25976","Yuny","1.01.03","1.01.03 - Contas a Receber","4T20",65299
"25976","Yuny","1.01.04","1.01.04 - Estoques","4T20",124900
"25976","Yuny","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",32368
"25976","Yuny","1.02","1.02 - Ativo Não Circulante","4T20",208643
"25976","Yuny","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",25273
"25976","Yuny","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",0
"25976","Yuny","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",23730
"25976","Yuny","1.02.01.05","1.02.01.03 - Estoques","4T20",0
"25976","Yuny","1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",336
